Name*Surnames*FirstName*LastName*Account*Path*Group*dni*Delegation*Departament*computer*Enabled*Password*ExpirationAccount*Change*NetTime*Email
EVA*GARCIA ALAVES*GARCIA*ALAVES*egarciaa*OU=Usuarios-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepSeguridad*12345717-N*Marenostrum*Seguridad Informática y Administración de Sistemas*W11MN-1*S*wahwahwah_100*30*S*L-V,7:00-15:00*egarciaa@marenostrum.res-es.mylocal
PEDRO*PULGAR CITO*PULGAR*CITO*ppulgarc*OU=Usuarios-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepSeguridad*12345718-A*Marenostrum*Seguridad Informática y Administración de Sistemas*W11MN-2*S*wahwahwah_100*30*S*L-V,7:00-15:00*ppulgarc@marenostrum.res-es.mylocal
ANGI*FILE MON*FILE*MON*afilem*OU=Usuarios-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepSeguridad*123457199-B*Marenostrum*Seguridad Informática y Administración de Sistemas*W11MN-3*S*wahwahwah_100*30*S*L-V,7:00-15:00*afilem@marenostrum.res-es.mylocal
MARIA*SEGIS OLIVIO*SEGIS*OLIVIO*msegiso*OU=Usuarios-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepSeguridad*12345720-C*Marenostrum*Seguridad Informática y Administración de Sistemas*W11MN-4*S*wahwahwah_100*30*S*L-V,7:00-15:00*msegiso@marenostrum.res-es.mylocal
MANU*TOM JERRY*TOM*JERRY*mtomj*OU=Usuarios-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepSeguridad*12345721-D*Marenostrum*Seguridad Informática y Administración de Sistemas*W11MN-5*S*wahwahwah_100*30*S*L-V,15:00-23:00*mtomj@marenostrum.res-es.mylocal
GARGAMEL*ROMPE TECHOS*ROMPE*TECHOS*grompet*OU=Usuarios-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepSeguridad*12345682-E*Marenostrum*Seguridad Informática y Administración de Sistemas*W11MN-6*S*wahwahwah_100*30*S*L-V,15:00-23:00*grompet@marenostrum.res-es.mylocal
JUAN*RIGOBERTO PICAPORTE*RIGOBERTO*PICAPORTE*jrigobertop*OU=Usuarios-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepSeguridad*12345683-F*Marenostrum*Seguridad Informática y Administración de Sistemas*W11MN-7*S*wahwahwah_100*30*S*L-V,15:00-23:00*jrigobertop@marenostrum.res-es.mylocal
MERE*PANTERA ROSA*PANTERA*ROSA*mpanterar*OU=Usuarios-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepSeguridad*12345684-G*Marenostrum*Seguridad Informática y Administración de Sistemas*W11MN-8*S*wahwahwah_100*30*S*L-V,15:00-23:00*mpanterar@marenostrum.res-es.mylocal
TORPE*MORTA DELO*MORTA*DELO*tmortad*OU=Usuarios-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepInvestigacion*12345685-H*Marenostrum*Investigación en Ciencias de la Computación*UDMN-1*S*wahwahwah_100*30*S*L-V,8:00-14:00,16:00-19:00*tmortad@marenostrum.res-es.mylocal
ISA*GOTERA OTILIO*GOTERA*OTILIO*igoterao*OU=Usuarios-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepInvestigacion*12345686-I*Marenostrum*Investigación en Ciencias de la Computación*UDMN-2*S*wahwahwah_100*30*S*L-V,8:00-14:00,16:00-19:00*igoterao@marenostrum.res-es.mylocal
EUSEBIO*UNOS FLAN*UNOS*FLAN*eunosf*OU=Usuarios-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepInvestigacion*12345687-J*Marenostrum*Investigación en Ciencias de la Computación*UDMN-3*S*wahwahwah_100*30*S*L-V,8:00-14:00,16:00-19:00*eunosf@marenostrum.res-es.mylocal
EVA*DORO TEO*DORO*TEO*edorot*OU=Usuarios-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepInvestigacion*12345688-K*Marenostrum*Investigación en Ciencias de la Computación*UDMN-4*S*wahwahwah_100*30*S*L-V,8:00-14:00,16:00-19:00*edorot@marenostrum.res-es.mylocal
TUSO*ZIPI ZAPEL*ZIPI*ZAPEL*tzipiz*OU=Usuarios-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepInvestigacion*12345689-L*Marenostrum*Investigación en Ciencias de la Computación*UDMN-5*S*wahwahwah_100*30*S*L-V,8:00-14:00,16:00-19:00*tzipiz@marenostrum.res-es.mylocal
ANA*RUE PERCEBE*RUE*PERCEBE*aruep*OU=Usuarios-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepInvestigacion*12345690-M*Marenostrum*Investigación en Ciencias de la Computación*UDMN-6*S*wahwahwah_100*30*S*L-V,8:00-14:00,16:00-19:00*aruep@marenostrum.res-es.mylocal
